"Simulation","Rpart","LDA","SVM","RF","GBM","LOG","DL"
"29",4,0.684761904761905,0.425882173382173,0.787142857142857,0.779642857142857,0.80047619047619,0.898333333333333,0.9193789
"30",4,0.623333333333333,0.613333333333333,0.633333333333333,0.716666666666667,0.616666666666667,0.6,0.9757448
"31",4,0.62989898989899,0.486300366300366,0.693434343434343,0.730683760683761,0.662808302808303,0.696962481962482,0.943512
"32",4,0.759644607843137,0.667144607843137,0.783026960784314,0.81844362745098,0.77469362745098,0.784742647058824,0.89346765
"33",5,0.793259803921569,0.737512254901961,0.876580882352941,0.872199754901961,0.895612745098039,0.881360294117647,0.9241589
"34",5,0.676666666666667,0.576666666666667,0.576666666666667,0.493333333333333,0.516666666666667,0.48,0.9757448
"35",5,0.848529411764706,0.769852941176471,0.927205882352941,0.939705882352941,0.939338235294118,0.957352941176471,0.8111905
"36",5,0.807152268021833,0.721381517033691,0.840269151138716,0.830331262939959,0.834876717485413,0.839243365330322,0.9207288
"37",5,0.647438672438672,0.47968253968254,0.721666666666667,0.783333333333333,0.786666666666667,0.788888888888889,0.9193789
"38",5,0.676666666666667,0.576666666666667,0.576666666666667,0.493333333333333,0.516666666666667,0.48,0.9757448
"39",5,0.609264346764347,0.503483183483183,0.625108225108225,0.61710758377425,0.585151515151515,0.623015873015873,0.943512
"40",5,0.762598039215686,0.673259803921569,0.751936274509804,0.716519607843137,0.728002450980392,0.718676470588235,0.89346765
"41",6,0.812867647058824,0.749399509803922,0.894166666666667,0.891072303921569,0.908995098039216,0.897205882352941,0.9101401
"42",6,0.696666666666667,0.583333333333333,0.57,0.126666666666667,0.563333333333333,0.586666666666667,0.9872211
"43",6,0.872794117647059,0.731985294117647,0.920955882352941,1,0.944852941176471,0.939705882352941,0.68785715
"44",6,0.829954827780915,0.692198381328816,0.834735554300772,0.784660267268963,0.852268021833239,0.854357236965933,0.9123713
"45",6,0.663730158730159,0.439090909090909,0.7525,1,0.783333333333333,0.804761904761905,0.9064242
"46",6,0.696666666666667,0.583333333333333,0.57,0.126666666666667,0.563333333333333,0.586666666666667,0.9872211
"47",6,0.65987012987013,0.481240981240981,0.629227994227994,0.395238095238095,0.627727272727273,0.643863913863914,0.9441905
"48",6,0.784730392156863,0.65765931372549,0.745477941176471,0.563333333333333,0.754093137254902,0.763186274509804,0.837539125
"49",7,0.790294117647059,0.638664215686275,0.903897058823529,0.892696078431373,0.91155637254902,0.918002450980392,0.9101401
"50",7,0.67,0.456666666666667,0.7,0.636666666666667,0.653333333333333,0.613333333333333,0.9872211
"51",7,0.895588235294118,0.701102941176471,0.927205882352941,0.944852941176471,0.944485294117647,0.963235294117647,0.68785715
"52",7,0.838866930171278,0.641709015622059,0.871532091097308,0.867005458309806,0.871136834180312,0.875682288725767,0.9123713
"53",7,0.671428571428571,0.320887445887446,0.774761904761905,0.82,0.83,0.883333333333333,0.9064242
"54",7,0.67,0.456666666666667,0.7,0.636666666666667,0.653333333333333,0.613333333333333,0.9872211
"55",7,0.663333333333333,0.407452732452732,0.72535742035742,0.692445887445887,0.711738816738817,0.692748917748918,0.9441905
"56",7,0.782794117647059,0.578884803921569,0.813602941176471,0.790759803921569,0.79890931372549,0.78828431372549,0.837539125
"57",8,0.813308823529412,0.705514705882353,0.92296568627451,0.911887254901961,0.926041666666667,0.923394607843137,0.9101401
"58",8,0.613333333333333,0.633333333333333,0.723333333333333,0.573333333333333,0.623333333333333,0.553333333333333,0.9872211
"59",8,0.884191176470588,0.700367647058823,0.903676470588235,0.951838235294118,0.951838235294118,0.970220588235294,0.68785715
"60",8,0.816064370412196,0.684660267268963,0.857679277244495,0.857660455486542,0.870703933747412,0.866337285902503,0.9123713
"61",8,0.625833333333333,0.41218253968254,0.747261904761905,0.815,0.825925925925926,0.896031746031746,0.9064242
"62",8,0.613333333333333,0.633333333333333,0.723333333333333,0.573333333333333,0.623333333333333,0.553333333333333,0.9872211
"63",8,0.603838383838384,0.490650036238272,0.704392274392274,0.656991341991342,0.740572390572391,0.689417989417989,0.9441905
"64",8,0.748762254901961,0.666850490196078,0.813504901960784,0.762585784313725,0.787585784313726,0.761776960784314,0.837539125
"65",9,0.792328431372549,0.626629901960784,0.872463235294118,0.882524509803922,0.893480392156863,0.867254901960784,0.9101401
"66",9,0.54,0.52,0.67,0.59,0.563333333333333,0.65,0.9872211
"67",9,0.885294117647059,0.665441176470588,0.914705882352941,0.940073529411765,0.957720588235294,0.927573529411765,0.68785715
"68",9,0.80016939582157,0.627799736495389,0.854376058723885,0.854376058723885,0.858921513269339,0.859749670619236,0.9123713
"69",9,0.625833333333333,0.35518759018759,0.722142857142857,0.773333333333333,0.843333333333333,0.772142857142857,0.9064242
"70",9,0.54,0.52,0.67,0.59,0.563333333333333,0.65,0.9872211
"71",9,0.566418026418026,0.409592956063544,0.685376845376845,0.663434343434343,0.64495670995671,0.698104118104118,0.9441905
"72",9,0.712647058823529,0.592720588235294,0.792352941176471,0.765036764705882,0.760526960784314,0.788786764705882,0.837539125
"73",10,0.803308823529412,0.680698529411765,0.883357843137255,0.865729166666667,0.909497549019608,0.911727941176471,0.9101401
"74",10,0.66,0.586666666666667,0.58,0.63,0.593333333333333,0.596666666666667,0.9872211
"75",10,0.852573529411765,0.7125,0.932352941176471,0.920220588235294,0.938235294117647,0.951470588235294,0.68785715
